,grid_id,x,y,visitors
709,8299,62.0,58.0,7
710,8300,63.0,58.0,1
711,8302,65.0,58.0,3
713,8304,67.0,58.0,4
714,8305,68.0,58.0,2
715,8306,69.0,58.0,1
716,8307,70.0,58.0,12
717,8308,71.0,58.0,9
718,8309,72.0,58.0,20
719,8310,73.0,58.0,4
720,8311,74.0,58.0,14
721,8312,75.0,58.0,23
722,8313,76.0,58.0,34
723,8314,77.0,58.0,43
724,8315,78.0,58.0,18
725,8316,79.0,58.0,35
726,8317,80.0,58.0,32
727,8318,81.0,58.0,7
728,8319,82.0,58.0,19
729,8320,83.0,58.0,3
730,8394,15.0,59.0,3
731,8406,27.0,59.0,1
732,8407,28.0,59.0,5
733,8409,30.0,59.0,57
734,8410,31.0,59.0,32
735,8411,32.0,59.0,17
736,8412,33.0,59.0,59
737,8413,34.0,59.0,22
738,8414,35.0,59.0,43
739,8415,36.0,59.0,36
740,8416,37.0,59.0,51
741,8417,38.0,59.0,23
742,8418,39.0,59.0,19
743,8419,40.0,59.0,17
744,8420,41.0,59.0,3
745,8421,42.0,59.0,8
746,8422,43.0,59.0,2
747,8423,44.0,59.0,5
748,8424,45.0,59.0,15
749,8425,46.0,59.0,5
750,8426,47.0,59.0,4
751,8427,48.0,59.0,4
752,8428,49.0,59.0,17
753,8429,50.0,59.0,3
754,8435,56.0,59.0,1
755,8436,57.0,59.0,8
756,8438,59.0,59.0,1
757,8440,61.0,59.0,1
758,8444,65.0,59.0,2
759,8445,66.0,59.0,1
760,8447,68.0,59.0,32
762,8449,70.0,59.0,4
763,8450,71.0,59.0,15
764,8451,72.0,59.0,18
765,8452,73.0,59.0,33
766,8453,74.0,59.0,25
767,8454,75.0,59.0,18
768,8455,76.0,59.0,50
769,8456,77.0,59.0,51
770,8457,78.0,59.0,29
771,8458,79.0,59.0,7
772,8459,80.0,59.0,27
773,8460,81.0,59.0,26
774,8461,82.0,59.0,18
775,8462,83.0,59.0,1
776,8523,2.0,60.0,7
777,8530,9.0,60.0,5
778,8531,10.0,60.0,3
779,8538,17.0,60.0,2
780,8546,25.0,60.0,1
781,8549,28.0,60.0,1
782,8550,29.0,60.0,8
783,8551,30.0,60.0,94
784,8552,31.0,60.0,31
785,8553,32.0,60.0,59
786,8554,33.0,60.0,85
787,8555,34.0,60.0,19
788,8556,35.0,60.0,6
789,8557,36.0,60.0,6
790,8558,37.0,60.0,15
791,8559,38.0,60.0,10
792,8561,40.0,60.0,5
793,8564,43.0,60.0,1
794,8565,44.0,60.0,9
795,8566,45.0,60.0,10
796,8567,46.0,60.0,10
797,8575,54.0,60.0,1
798,8576,55.0,60.0,2
799,8580,59.0,60.0,3
800,8582,61.0,60.0,1
801,8583,62.0,60.0,16
802,8584,63.0,60.0,29
803,8585,64.0,60.0,24
804,8586,65.0,60.0,7
805,8587,66.0,60.0,7
806,8588,67.0,60.0,3
807,8589,68.0,60.0,12
808,8590,69.0,60.0,21
809,8591,70.0,60.0,20
810,8592,71.0,60.0,30
811,8593,72.0,60.0,27
812,8594,73.0,60.0,38
813,8595,74.0,60.0,22
814,8596,75.0,60.0,23
815,8597,76.0,60.0,6
816,8598,77.0,60.0,43
817,8599,78.0,60.0,30
818,8600,79.0,60.0,12
819,8601,80.0,60.0,19
820,8602,81.0,60.0,7
821,8603,82.0,60.0,21
822,8604,83.0,60.0,4
823,8667,4.0,61.0,2
824,8668,5.0,61.0,4
825,8672,9.0,61.0,2
826,8683,20.0,61.0,2
827,8691,28.0,61.0,41
828,8692,29.0,61.0,87
829,8693,30.0,61.0,51
830,8694,31.0,61.0,64
831,8695,32.0,61.0,221
832,8696,33.0,61.0,195
833,8697,34.0,61.0,16
834,8698,35.0,61.0,2
835,8699,36.0,61.0,18
836,8700,37.0,61.0,9
837,8707,44.0,61.0,5
838,8709,46.0,61.0,2
839,8711,48.0,61.0,2
840,8713,50.0,61.0,1
841,8717,54.0,61.0,6
842,8718,55.0,61.0,2
843,8719,56.0,61.0,2
844,8720,57.0,61.0,10
845,8721,58.0,61.0,6
846,8722,59.0,61.0,21
847,8723,60.0,61.0,7
848,8724,61.0,61.0,10
849,8725,62.0,61.0,35
850,8726,63.0,61.0,12
851,8727,64.0,61.0,24
852,8728,65.0,61.0,2
853,8729,66.0,61.0,10
854,8730,67.0,61.0,5
855,8731,68.0,61.0,5
856,8732,69.0,61.0,8
857,8733,70.0,61.0,25
858,8734,71.0,61.0,22
859,8735,72.0,61.0,31
860,8736,73.0,61.0,14
861,8737,74.0,61.0,34
862,8738,75.0,61.0,14
863,8739,76.0,61.0,22
864,8740,77.0,61.0,13
865,8741,78.0,61.0,48
866,8742,79.0,61.0,34
867,8743,80.0,61.0,17
868,8744,81.0,61.0,15
869,8745,82.0,61.0,4
870,8746,83.0,61.0,3
871,8747,84.0,61.0,1
872,8811,6.0,62.0,3
873,8814,9.0,62.0,9
874,8826,21.0,62.0,5
875,8827,22.0,62.0,8
876,8828,23.0,62.0,6
877,8829,24.0,62.0,8
878,8830,25.0,62.0,30
879,8831,26.0,62.0,1
880,8833,28.0,62.0,41
881,8834,29.0,62.0,38
882,8835,30.0,62.0,52
883,8836,31.0,62.0,46
884,8837,32.0,62.0,29
885,8838,33.0,62.0,34
886,8839,34.0,62.0,69
887,8840,35.0,62.0,40
888,8841,36.0,62.0,1
889,8842,37.0,62.0,19
890,8843,38.0,62.0,15
891,8859,54.0,62.0,11
892,8860,55.0,62.0,7
893,8861,56.0,62.0,5
894,8862,57.0,62.0,1
895,8863,58.0,62.0,8
896,8864,59.0,62.0,4
897,8865,60.0,62.0,18
898,8866,61.0,62.0,6
899,8867,62.0,62.0,61
900,8868,63.0,62.0,13
901,8869,64.0,62.0,11
902,8870,65.0,62.0,13
903,8871,66.0,62.0,17
904,8872,67.0,62.0,8
905,8873,68.0,62.0,9
906,8875,70.0,62.0,20
907,8876,71.0,62.0,54
908,8877,72.0,62.0,15
909,8878,73.0,62.0,34
910,8879,74.0,62.0,22
911,8880,75.0,62.0,34
912,8881,76.0,62.0,33
913,8882,77.0,62.0,5
914,8883,78.0,62.0,2
915,8884,79.0,62.0,13
916,8885,80.0,62.0,5
917,8886,81.0,62.0,3
918,8887,82.0,62.0,13
919,8888,83.0,62.0,5
920,8889,84.0,62.0,4
921,8952,5.0,63.0,2
922,8956,9.0,63.0,7
923,8957,10.0,63.0,4
924,8958,11.0,63.0,1
925,8960,13.0,63.0,3
926,8961,14.0,63.0,1
927,8963,16.0,63.0,10
928,8968,21.0,63.0,1
929,8969,22.0,63.0,1
930,8972,25.0,63.0,1
931,8973,26.0,63.0,8
932,8975,28.0,63.0,3
933,8976,29.0,63.0,19
934,8978,31.0,63.0,10
935,8979,32.0,63.0,2
936,8980,33.0,63.0,23
937,8981,34.0,63.0,12
938,8982,35.0,63.0,71
939,8983,36.0,63.0,39
940,8984,37.0,63.0,19
941,8985,38.0,63.0,1
942,8987,40.0,63.0,2
943,8992,45.0,63.0,5
944,9000,53.0,63.0,11
945,9001,54.0,63.0,5
946,9003,56.0,63.0,32
947,9004,57.0,63.0,9
