,source,target,weight
1025,3186,3187,1.0
1026,3327,3187,1.0
1027,3330,3187,1.0
1028,3477,3187,1.0
1029,2187,2186,1.0
1030,2191,2048,1.0
1031,2191,2049,1.0
1032,2900,2049,1.0
1033,5470,2049,1.0
1034,2192,3046,1.0
1035,3189,3046,1.0
1036,6755,3046,1.0
1037,2454,2753,1.0
1038,2899,2753,3.0
1039,3042,2753,1.0
1040,3615,2753,1.0
1041,2472,2184,1.0
1042,3040,2184,2.0
1043,3186,2184,1.0
1044,3187,2184,1.0
1045,2472,2900,1.0
1046,2759,2900,1.0
1047,2899,2900,1.0
1048,3040,2900,1.0
1049,3186,2900,2.0
1050,3330,2900,1.0
1051,6611,2900,1.0
1052,2472,3182,1.0
1053,2758,3182,1.0
1054,2759,3182,3.0
1055,2762,3182,1.0
1056,2902,3182,1.0
1057,3041,3182,1.0
1058,3042,3182,2.0
1059,3186,3182,1.0
1060,3605,3182,1.0
1061,2472,3185,2.0
1062,2899,3185,1.0
1063,2902,3185,1.0
1064,3042,3185,3.0
1065,3044,3185,1.0
1066,3045,3185,1.0
1067,3186,3185,2.0
1068,3318,3185,1.0
1069,3327,3185,2.0
1070,3328,3185,2.0
1071,3471,3185,1.0
1072,3477,3185,2.0
1073,10161,3185,1.0
1074,2472,4175,1.0
1075,2473,2474,1.0
1076,10424,2474,1.0
1077,2474,3045,1.0
1078,2758,3045,1.0
1079,3043,3045,1.0
1080,3044,3045,1.0
1081,3185,3045,1.0
1082,3472,3045,1.0
1083,8867,3045,1.0
1084,2474,10424,1.0
1085,8010,10424,1.0
1086,8316,10424,1.0
1087,9583,10424,2.0
1088,9853,10424,1.0
1089,9854,10424,1.0
1090,9997,10424,1.0
1091,9998,10424,1.0
1092,10001,10424,2.0
1093,10138,10424,3.0
1094,10139,10424,1.0
1095,10281,10424,2.0
1096,10423,10424,2.0
1097,10435,10424,1.0
1098,10567,10424,1.0
1099,10569,10424,3.0
1100,10851,10424,1.0
1101,10853,10424,1.0
1102,11135,10424,3.0
1103,11286,10424,1.0
1104,11711,10424,1.0
1105,11886,10424,2.0
1106,12262,10424,1.0
1107,13021,10424,1.0
1108,13267,10424,1.0
1109,13309,10424,1.0
1110,2603,2172,1.0
1111,2750,2172,1.0
